,avalanches
1426,"[1, 21]"
1427,"[1, 6]"
1428,"[1, 8]"
1429,"[1, 1]"
1430,"[1, 2]"
1431,"[1, 3]"
1432,"[1, 1]"
1433,"[1, 2]"
1434,"[1, 3]"
1435,"[1, 4]"
1436,"[1, 5]"
1437,"[1, 5]"
1438,"[1, 5]"
1439,"[1, 4]"
1440,"[1, 4]"
1441,"[1, 3]"
1442,"[1, 1]"
1443,"[1, 2]"
1444,"[1, 3]"
1445,"[1, 4]"
1446,"[1, 6]"
1447,"[1, 5]"
1448,"[1, 5]"
1449,"[1, 4]"
1450,"[1, 4]"
1451,"[1, 3]"
1452,"[1, 2]"
1453,"[1, 2]"
1454,"[1, 2]"
1455,"[1, 2]"
1456,"[1, 1]"
1457,"[1, 1]"
1458,"[1, 1]"
1459,"[1, 1]"
1460,"[1, 1]"
1461,"[1, 3]"
1462,"[1, 2]"
1463,"[1, 2]"
1464,"[1, 2]"
1465,"[1, 1]"
1466,"[1, 1]"
1467,"[1, 1]"
1468,"[1, 17]"
1469,"[2, 18, 6]"
1470,"[1, 20, 2]"
1471,"[3, 37, 30, 19]"
1472,"[22, 159, 604, 1244, 901, 858, 27]"
1473,"[1, 1]"
1474,"[1, 7]"
1475,"[1, 14]"
1476,"[8, 57, 368, 781, 1206, 1217, 1212, 272]"
1477,"[1, 14]"
1478,"[1, 10]"
1479,"[1, 7]"
1480,"[1, 3]"
1481,"[1, 18]"
1482,"[1, 17]"
1483,"[4, 29, 288, 637, 1096, 1627, 1606, 949, 730]"
1484,"[1, 16]"
1485,"[1, 5]"
1486,"[2, 10, 142, 366, 574, 853, 1566, 1730, 965, 1011, 158]"
1487,"[1, 1]"
1488,"[1, 1]"
1489,"[1, 2]"
1490,"[1, 1]"
1491,"[1, 2]"
1492,"[1, 1]"
1493,"[1, 5]"
1494,"[1, 8]"
1495,"[1, 10]"
1496,"[1, 5]"
1497,"[2, 17, 205, 571, 987, 1312, 1300, 972, 596, 463, 21]"
1498,"[1, 1]"
1499,"[1, 2]"
1500,"[1, 2]"
1501,"[1, 1]"
1502,"[1, 1]"
1503,"[1, 1]"
1504,"[1, 2]"
1505,"[1, 2]"
1506,"[1, 4]"
1507,"[1, 3]"
1508,"[1, 1]"
1509,"[1, 6]"
1510,"[1, 4]"
1511,"[1, 7]"
1512,"[1, 1]"
1513,"[1, 20]"
1514,"[1, 6]"
1515,"[1, 6]"
1516,"[6, 43, 415, 857, 1275, 997, 1201, 708, 295]"
1517,"[1, 21]"
1518,"[1, 17]"
1519,"[1, 7]"
1520,"[1, 7]"
1521,"[1, 5]"
1522,"[1, 3]"
1523,"[1, 1]"
1524,"[1, 5]"
1525,"[1, 3]"
1526,"[1, 1]"
1527,"[1, 1]"
1528,"[1, 2]"
1529,"[1, 7]"
1530,"[1, 1]"
1531,"[1, 4]"
1532,"[1, 6]"
1533,"[1, 3]"
1534,"[1, 3]"
1535,"[1, 4]"
1536,"[1, 6]"
1537,"[1, 7]"
1538,"[1, 5]"
1539,"[1, 3]"
1540,"[1, 1]"
1541,"[1, 1]"
1542,"[1, 3]"
1543,"[1, 5]"
1544,"[1, 9]"
1545,"[1, 6]"
1546,"[1, 4]"
1547,"[1, 2]"
1548,"[1, 1]"
1549,"[1, 2]"
1550,"[11, 22, 41]"
1551,"[11, 22, 42]"
1552,"[1, 1]"
1553,"[1, 4]"
1554,"[2, 14, 220, 566, 781, 1105, 948, 1132, 762, 866, 400, 59]"
1555,"[1, 12]"
1556,"[1, 6]"
1557,"[1, 1]"
1558,"[1, 1]"
1559,"[1, 3]"
1560,"[1, 3]"
1561,"[1, 1]"
1562,"[1, 2]"
1563,"[1, 2]"
1564,"[1, 1]"
1565,"[1, 2]"
1566,"[1, 4]"
1567,"[1, 4]"
1568,"[1, 2]"
1569,"[1, 1]"
1570,"[1, 1]"
1571,"[1, 1]"
1572,"[1, 1]"
1573,"[1, 1]"
1574,"[1, 12, 44]"
1575,"[1, 6]"
1576,"[3, 29, 358, 775, 1130, 925, 1505, 1392, 314, 3]"
1577,"[1, 1]"
1578,"[1, 2]"
1579,"[1, 3]"
1580,"[1, 1]"
1581,"[1, 1]"
1582,"[1, 2]"
1583,"[1, 16]"
1584,"[1, 6]"
1585,"[2, 11, 143, 517, 894, 1182, 1768, 1485, 537, 26]"
1586,"[1, 1]"
1587,"[1, 1]"
1588,"[1, 9]"
1589,"[1, 8]"
1590,"[1, 13]"
1591,"[1, 7]"
1592,"[1, 8]"
1593,"[1, 9]"
1594,"[1, 8]"
1595,"[1, 10]"
1596,"[8, 82, 509, 861, 1276, 1954, 1345, 255, 21]"
1597,"[1, 15]"
1598,"[1, 5]"
1599,"[1, 6]"
1600,"[1, 1]"
1601,"[1, 4]"
1602,"[1, 5]"
1603,"[1, 5]"
1604,"[1, 3]"
1605,"[1, 2]"
1606,"[1, 2]"
1607,"[1, 6]"
1608,"[1, 4]"
1609,"[1, 4]"
1610,"[1, 4]"
1611,"[1, 5]"
1612,"[1, 4]"
1613,"[1, 4]"
1614,"[1, 4]"
1615,"[1, 1]"
1616,"[1, 6]"
1617,"[1, 3]"
1618,"[1, 5]"
1619,"[1, 3]"
1620,"[1, 4]"
1621,"[1, 2]"
1622,"[1, 8]"
1623,"[1, 8]"
1624,"[1, 8]"
1625,"[1, 6]"
1626,"[1, 5]"
1627,"[1, 6]"
1628,"[1, 5]"
1629,"[1, 4]"
1630,"[1, 7]"
1631,"[1, 4]"
1632,"[1, 1]"
1633,"[1, 4]"
1634,"[2, 27, 367, 759, 1292, 2136, 1689, 755, 268, 212, 401, 661, 798, 616, 454, 149, 66, 189, 400, 782, 909, 525, 491, 41]"
1635,"[1, 2]"
1636,"[1, 12]"
1637,"[10, 63, 384, 931, 1248, 1059, 1255, 531, 49, 2]"
1638,"[1, 3]"
1639,"[1, 1]"
1640,"[1, 5]"
1641,"[2, 20, 236, 539, 1083, 1277, 1214, 1706, 1338, 697, 177, 235, 417, 1364, 1535, 1663, 1014, 101, 5]"
1642,"[1, 11]"
1643,"[1, 8]"
1644,"[1, 3]"
1645,"[1, 11]"
1646,"[1, 3]"
1647,"[1, 4]"
1648,"[1, 1]"
1649,"[1, 4]"
1650,"[1, 7]"
1651,"[1, 4]"
1652,"[1, 9]"
1653,"[1, 5]"
1654,"[1, 11]"
1655,"[1, 6]"
1656,"[1, 9]"
1657,"[1, 5]"
1658,"[1, 1]"
1659,"[1, 4]"
1660,"[1, 16]"
1661,"[1, 9]"
1662,"[1, 1]"
1663,"[1, 17]"
1664,"[1, 8]"
1665,"[1, 2]"
1666,"[1, 9]"
1667,"[1, 18]"
1668,"[1, 3]"
1669,"[1, 2]"
1670,"[1, 1]"
1671,"[1, 6]"
1672,"[1, 3]"
1673,"[1, 1]"
1674,"[1, 11]"
1675,"[1, 14]"
1676,"[2, 26, 349, 503, 914, 1511, 1336, 1310, 1040, 240, 212, 365, 601, 763, 529, 806, 628, 573, 865, 1113, 1228, 1307, 1640, 646, 285, 337, 972, 1116, 1431, 1501, 848, 230, 230, 443, 696, 1510, 1501, 1189, 681, 214, 67]"
1677,"[1, 6]"
1678,"[2, 34, 360, 754, 1477, 1687, 1450, 1165, 486, 358, 89]"
1679,"[1, 16]"
1680,"[1, 1]"
1681,"[1, 1]"
1682,"[1, 2]"
1683,"[1, 1]"
1684,"[1, 1]"
1685,"[1, 1]"
1686,"[1, 2]"
1687,"[1, 2]"
1688,"[1, 2]"
1689,"[1, 1]"
1690,"[1, 1]"
1691,"[1, 1]"
1692,"[1, 1]"
1693,"[1, 1]"
1694,"[1, 1]"
1695,"[1, 1]"
1696,"[1, 5]"
1697,"[1, 1]"
1698,"[1, 2]"
1699,"[1, 4]"
1700,"[1, 4]"
1701,"[1, 2]"
1702,"[1, 1]"
1703,"[1, 2]"
1704,"[1, 4]"
1705,"[1, 2]"
1706,"[1, 2]"
1707,"[1, 3]"
1708,"[1, 4]"
1709,"[1, 3]"
1710,"[1, 5]"
1711,"[1, 7]"
1712,"[1, 2]"
1713,"[1, 4]"
1714,"[1, 6]"
1715,"[1, 8]"
1716,"[1, 8]"
1717,"[1, 8]"
1718,"[1, 3]"
1719,"[1, 4]"
1720,"[1, 4]"
1721,"[1, 4]"
1722,"[1, 3]"
1723,"[1, 4]"
1724,"[1, 1]"
1725,"[1, 1]"
1726,"[1, 5]"
1727,"[1, 7]"
1728,"[1, 9]"
1729,"[1, 9]"
1730,"[1, 7, 9]"
1731,"[1, 4]"
1732,"[1, 1]"
1733,"[1, 15]"
1734,"[1, 3]"
1735,"[1, 1]"
1736,"[1, 2]"
1737,"[5, 43, 314, 674, 590, 589, 841, 937, 558, 158, 557, 975, 1293, 1209, 1297, 471, 236, 125, 35]"
1738,"[1, 14]"
1739,"[1, 16]"
1740,"[1, 2]"
1741,"[1, 4]"
1742,"[1, 6]"
1743,"[1, 1]"
1744,"[1, 4]"
1745,"[1, 6]"
1746,"[1, 9]"
1747,"[1, 2]"
1748,"[1, 4]"
1749,"[1, 8]"
1750,"[1, 12]"
1751,"[1, 5]"
1752,"[1, 10]"
1753,"[1, 15]"
1754,"[1, 19]"
1755,"[1, 2]"
1756,"[1, 8]"
1757,"[1, 14]"
1758,"[1, 8]"
1759,"[1, 14]"
1760,"[1, 13]"
1761,"[1, 4]"
1762,"[1, 10]"
1763,"[1, 15]"
1764,"[1, 12]"
1765,"[1, 6]"
1766,"[1, 11]"
1767,"[1, 6]"
1768,"[1, 27]"
1769,"[1, 15]"
1770,"[1, 13]"
1771,"[1, 9]"
1772,"[1, 5]"
1773,"[1, 7]"
1774,"[1, 7]"
1775,"[1, 7]"
1776,"[1, 2]"
1777,"[1, 4]"
1778,"[1, 5]"
1779,"[1, 5]"
1780,"[1, 1]"
1781,"[1, 6]"
1782,"[1, 20]"
1783,"[1, 17]"
1784,"[1, 15]"
1785,"[1, 9]"
1786,"[1, 4]"
1787,"[1, 12]"
1788,"[1, 1]"
1789,"[1, 2]"
1790,"[1, 7]"
1791,"[1, 9]"
1792,"[1, 7]"
1793,"[1, 6]"
1794,"[2, 16, 214, 583, 1009, 1020, 1163, 1322, 901, 534, 240, 287, 1084, 1452, 1944, 1531, 669, 533, 653, 1019, 1105, 1318, 1717, 1543, 1261, 895, 1015, 1509, 2208, 1952, 1655, 1462, 1205, 1728, 1827, 1867, 2151, 2542, 2569, 1929, 1738, 1923, 2201, 2750, 3098, 3190, 2500, 2267, 2677, 2865, 3067, 2840, 3420, 3479, 2809, 2936, 3184, 3226, 3603, 3785, 3613, 3229, 3176, 3587, 3670, 3828, 3877, 3376, 3701, 3713, 3803, 4048, 3428, 3751, 3769, 3813, 4056, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431, 3757, 3780, 3847, 4067, 3431]"
1795,"[1, 2]"
1796,"[1, 4]"
1797,"[1, 9]"
1798,"[1, 3]"
1799,"[1, 4]"
1800,"[1, 2]"
1801,"[1, 3]"
1802,"[1, 1]"
1803,"[1, 3]"
1804,"[1, 2]"
1805,"[1, 4]"
1806,"[1, 1]"
1807,"[1, 2]"
1808,"[1, 3]"
1809,"[1, 6]"
1810,"[1, 1]"
1811,"[1, 1]"
1812,"[1, 1]"
1813,"[1, 2]"
1814,"[1, 5]"
1815,"[1, 7]"
1816,"[1, 8]"
1817,"[1, 1]"
1818,"[1, 1]"
1819,"[1, 2]"
1820,"[1, 5]"
1821,"[1, 5]"
1822,"[1, 5]"
1823,"[1, 2]"
1824,"[1, 2]"
1825,"[1, 1]"
1826,"[1, 2]"
1827,"[1, 2]"
1828,"[1, 1]"
1829,"[1, 1]"
1830,"[1, 2]"
1831,"[1, 1]"
1832,"[1, 1]"
1833,"[1, 2]"
1834,"[1, 2]"
1835,"[1, 2]"
1836,"[1, 2]"
1837,"[1, 1]"
1838,"[1, 2]"
1839,"[1, 2]"
1840,"[9, 76, 409, 677, 516, 423]"
1841,"[10, 18, 8]"
1842,"[2, 28, 25, 5]"
1843,"[5, 64, 62, 9]"
1844,"[1, 1]"
1845,"[1, 1]"
1846,"[1, 1]"
1847,"[1, 1]"
1848,"[1, 2]"
1849,"[1, 4]"
1850,"[1, 11]"
1851,"[1, 4]"
1852,"[1, 9]"
1853,"[1, 14]"
1854,"[1, 7]"
1855,"[1, 13]"
1856,"[1, 12]"
1857,"[1, 4]"
1858,"[1, 4]"
1859,"[1, 2]"
1860,"[1, 1]"
1861,"[1, 7]"
1862,"[1, 4]"
1863,"[1, 2]"
1864,"[1, 9]"
1865,"[1, 6]"
1866,"[1, 9]"
1867,"[1, 1]"
1868,"[12, 5, 4]"
1869,"[1, 1]"
1870,"[2, 22, 251, 698, 891, 844, 912, 405, 32, 2]"
1871,"[1, 14]"
1872,"[1, 1]"
1873,"[1, 2]"
1874,"[1, 5]"
1875,"[1, 8]"
1876,"[1, 2]"
1877,"[1, 4]"
1878,"[1, 7]"
1879,"[1, 12]"
1880,"[1, 5]"
1881,"[1, 9]"
1882,"[1, 2]"
1883,"[1, 5]"
1884,"[1, 2]"
1885,"[1, 5]"
1886,"[1, 7]"
1887,"[1, 1]"
1888,"[1, 3]"
1889,"[1, 5]"
1890,"[1, 3]"
1891,"[1, 2]"
1892,"[1, 2]"
1893,"[1, 2]"
1894,"[1, 2]"
1895,"[3, 18, 177, 771, 1376, 2205, 1879, 706, 15]"
1896,"[1, 15]"
1897,"[1, 12]"
1898,"[1, 15]"
1899,"[1, 17]"
1900,"[1, 1]"
1901,"[1, 1]"
1902,"[1, 5]"
1903,"[1, 4]"
1904,"[1, 8]"
1905,"[1, 11]"
1906,"[1, 1]"
1907,"[1, 1]"
1908,"[1, 2]"
1909,"[1, 2]"
1910,"[1, 5]"
1911,"[1, 1]"
1912,"[1, 1]"
1913,"[1, 2]"
1914,"[1, 5]"
1915,"[1, 8]"
1916,"[1, 1]"
1917,"[1, 2]"
1918,"[1, 6]"
1919,"[1, 10]"
1920,"[1, 5]"
1921,"[1, 13]"
1922,"[1, 7]"
1923,"[1, 13]"
1924,"[1, 7]"
1925,"[1, 8]"
1926,"[1, 3]"
1927,"[5, 36, 271, 773, 1135, 668, 787, 813, 268, 659, 1082, 1182, 1859, 1489, 1255, 844, 1034, 1276, 1567, 1829, 1878, 2264, 1881, 1386, 1456, 1848, 2089, 2424, 2922, 2303, 2030, 1882, 2291, 2890, 2725, 2779, 2719, 2609, 2495, 2543, 2827, 3139, 3736, 3285, 2998, 2781, 3044, 3437, 3621, 3809, 3096, 3226, 3456, 3627, 3947, 3611, 3415, 3659, 3697, 3934, 3858, 3421, 3649, 3829, 4059, 3936, 3420, 3657, 3823, 4077, 3967, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822, 4083, 3977, 3431, 3657, 3822]"
1928,"[1, 6]"
1929,"[1, 6]"
1930,"[1, 10]"
1931,"[1, 5]"
1932,"[1, 1]"
