,size,duration
1139,2,2
1140,4,2
1141,5,3
1142,52,3
1143,2588,7
1144,16,2
1145,4,2
1146,3,2
1147,3,2
1148,2,2
1149,14,2
1150,9,2
1151,5372,9
1152,2,2
1153,2,2
1154,16,2
1155,4972,9
1156,9,2
1157,15,2
1158,11,2
1159,16,2
1160,21,2
1161,6243,9
1162,15,2
1163,6408,10
1164,25,2
1165,12,2
1166,2,2
1167,3,2
1168,2,2
1169,2,2
1170,5,2
1171,3,2
1172,3,2
1173,2,2
1174,4968,9
1175,6,2
1176,5,2
1177,4,2
1178,5,2
1179,14,2
1180,14,2
1181,10,2
1182,6,2
1183,20,2
1184,5,2
1185,5,2
1186,17,2
1187,2,2
1188,2,2
1189,10,2
1190,3429,8
1191,15,2
1192,4412,9
1193,21,2
1194,13,2
1195,3,2
1196,2,2
1197,2,2
1198,2,2
1199,2,2
1200,8,2
1201,6891,10
1202,13,2
1203,16,2
1204,14,2
1205,13,2
1206,11,2
1207,11,2
1208,13,2
1209,11,2
1210,9,2
1211,7,2
1212,6,2
1213,6,2
1214,7,2
1215,8,2
1216,9,2
1217,6,2
1218,2,2
1219,5,2
1220,11,2
1221,11,2
1222,8,2
1223,4,2
1224,6,2
1225,4,2
1226,2,2
1227,2,2
1228,3,2
1229,2,2
1230,14,2
1231,6284,11
1232,10,2
1233,2,2
1234,2,2
1235,9,2
1236,8,2
1237,3,2
1238,8,2
1239,8,2
1240,6,2
1241,2,2
1242,2,2
1243,8,2
1244,8,2
1245,6,2
1246,7,2
1247,6,2
1248,6,2
1249,6,2
1250,10,2
1251,4,2
1252,6,2
1253,7,2
1254,4,2
1255,5,2
1256,6,2
1257,6,2
1258,3,2
1259,2,2
1260,17,2
1261,12,2
1262,17,2
1263,9,2
1264,11,2
1265,4,2
1266,3,2
1267,2,2
1268,4,2
1269,3,2
1270,2,2
1271,5,2
1272,4,2
1273,2,2
1274,39,3
1275,13,2
1276,13,2
1277,12,2
1278,7,2
1279,8,2
1280,2,2
1281,3,2
1282,14,2
1283,4,2
1284,2,2
1285,23,2
1286,2,2
1287,3,2
1288,2,2
1289,2,2
1290,2,2
1291,11,2
1292,5,2
1293,9,2
1294,7,2
1295,3,2
1296,12,2
1297,8,2
1298,16,2
1299,8,2
1300,12,2
1301,3406629,927
1302,8,2
1303,13,2
1304,23,2
1305,2,2
1306,14,2
1307,24,2
1308,27,2
1309,25,2
1310,21,2
1311,13,2
1312,4,2
1313,4,2
1314,4,2
1315,2,2
1316,3,2
1317,2,2
1318,3,2
1319,2,2
1320,3,2
1321,6,2
1322,6,2
1323,6,2
1324,3222,8
1325,15,2
1326,4508,9
1327,20,2
1328,8,2
1329,2,2
