run,evalanche_size,evalanche_duration,density,cooldown,branching_ratio,emperical_branching_ratio
5,"[0, 10, 0, 2, 0, 2, 3, 8, 0, 0, 0]","[0, 8, 0, 2, 0, 2, 2, 4, 0, 0, 0]",9.99000999000999e-06,0,0.6371374928515668,0.7470238095238094
6,"[1, 0, 2, 0, 0, 0, 0, 32, 0, 0, 0]","[1, 0, 2, 0, 0, 0, 0, 19, 0, 0, 0]",1.998001998001998e-05,0,0.6371374928515668,0.6461904761904762
7,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9.99000999000999e-06,0,0.6371374928515668,0.2647058823529412
8,"[6, 1, 4, 0, 2, 8, 0, 0]","[6, 1, 3, 0, 2, 5, 0, 0]",0.0,0,0.6371374928515668,0.717948717948718
9,"[7, 0, 2, 1, 2, 12, 0, 0, 0, 2, 0]","[5, 0, 2, 1, 1, 7, 0, 0, 0, 2, 0]",7.992007992007992e-05,0,0.6371374928515668,0.644927536231884
0,"[0, 7, 1, 0, 1]","[0, 5, 1, 0, 1]",9.990009990009989e-05,1,0.6371374928515668,0.4
1,"[0, 0, 0, 2, 1, 2, 3]","[0, 0, 0, 1, 1, 1, 2]",9.99000999000999e-06,1,0.6371374928515668,0.7272727272727273
2,"[0, 0, 1, 0, 0, 1, 4, 1]","[0, 0, 1, 0, 0, 1, 4, 1]",1.998001998001998e-05,1,0.6371374928515668,0.5384615384615384
3,"[0, 9, 1, 0, 1, 0, 0, 0]","[0, 6, 1, 0, 1, 0, 0, 0]",9.99000999000999e-06,1,0.6371374928515668,0.6071428571428571
4,"[0, 1, 0, 10, 8, 4, 2, 15, 3, 0, 0]","[0, 1, 0, 7, 5, 4, 2, 13, 2, 0, 0]",2.997002997002997e-05,1,0.6371374928515668,0.8693693693693693
5,"[0, 6, 0, 0, 1, 0, 0, 0, 0, 8]","[0, 6, 0, 0, 1, 0, 0, 0, 0, 6]",9.99000999000999e-06,1,0.6371374928515668,0.5833333333333333
6,"[0, 0, 0, 1, 0, 13, 4, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 6]","[0, 0, 0, 1, 0, 6, 3, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 3]",0.0,1,0.6371374928515668,0.5931972789115646
7,"[12, 0, 6, 7, 1, 0, 0, 24, 2, 2, 0, 0, 1, 0, 0, 1, 1]","[7, 0, 4, 5, 1, 0, 0, 15, 2, 2, 0, 0, 1, 0, 0, 1, 1]",0.00012987012987012987,1,0.6371374928515668,0.7677304964539006
8,"[0, 0, 1, 1, 0, 3, 11, 15, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 2, 7, 11, 0, 0, 0, 0, 1, 0]",9.99000999000999e-06,1,0.6371374928515668,0.7096774193548387
9,"[0, 0, 4, 3, 1, 5, 1, 8]","[0, 0, 3, 2, 1, 3, 1, 5]",9.99000999000999e-06,1,0.6371374928515668,0.8409090909090909
0,"[1, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 2, 0, 0, 0]",1.998001998001998e-05,3,0.6371374928515668,0.18181818181818182
